text,label,notes
"The more ""unique"" or complicated your mechanics are, the more barriers you make the player have to clear to enjoy your game. -A Post-Mortem of my failed game demo.

Two months ago I released the demo for my game Paradox Patrol. I had worked on the game for about half a year and created everything except the model assets from scratch. The game started it's life as an entry into a month long game jam. To my surprise, the game won the jam and it gave me a boost of confidence that maybe the concept for the game was worth fleshing out and turning into a full game. The theme of the jam was Evolution, so I came up with the idea of creating a gameplay system that merges two different genres.

Two of my favorite games are Metroid Dread (a 2.5D Metroid) and Returnal (a 3rd person shooter) and so I developed a gameplay system where the camera always stays fixed to the character like a 2.5D sidescroller, but allows you to move around and shoot in 3D space like a 3rd person shooter. Something I eventually ended up calling an Omni-shooter.

So I created an hour long demo with fully fleshed out mechanics and two major boss fights, posted some videos about it on my youtube channel and released it onto Steam...

At the time of writing this, the demo has one single review. For the few people that have played it, they really struggled grasping the controls because they are different than most games. That and the majority of people could not figure out how to progress through a certain part of the level, even though there are bright pink glowing flowers acting as a waypoints of where to go.

There have been a couple people who have posted let's plays of it onto youtube, but they all get stuck at that point in the level and give up; never getting to experience the best parts of the demo which are the two bosses 😞 I think why this happens is that people aren't used to playing a game that looks like a side-scroller but gives full 3D movement. So they aren't accustomed to thinking things like ""Oh, maybe I should move towards the camera to explore.""

I believe in the indie dev spirit of risk taking and not being afraid to try something different. But what I think my game proves is that there IS such a thing as being too different. I spent months essentially re-inventing the wheel to create a new gameplay genre, but it alienated players because it wasn't what they were used to playing control-wise. I'm still very proud of the game and I still love the concept and story. But I think if I want players to actually enjoy it, I'll need to toss out my Omni-Shooter system and turn it into a regular old 3rd Person Shooter",dev_process,very difficult
"Toxicity is a design choice: the ""blame target"" a game gives you sets the toxicity dial

I'm currently thinking about creating my game

Here's a contradiction that got me started. In Deep Rock Galactic, a co-op game, one player's mistake can wipe the whole team, yet its community is famous for being one of the kindest in gaming. Meanwhile League, CS2, Dota 2 and Valorant are infamous for toxicity. Same kind of people, wildly different behavior.

The cleanest way I found to explain it is to ask one question of any competitive game: when you lose, where can the blame go ?

In League, it goes to a teammate. The blame has a human address, which is exactly what makes it toxic: there's a specific named person to flame. In chess, it goes to you and only you. No teammates, no luck, so a loss is unambiguously yours. That kills interpersonal toxicity (nobody to scapegoat) but it's brutal on the ego, and tellingly the main toxicity left in online chess is accusing your opponent of cheating, the last blame-shift available. In Hearthstone, it goes to the dice. ""I got unlucky"" protects your ego without creating a human victim, which is part of why card-game lobbies stay calmer.

So the available blame target is a design choice, and it sets the toxicity dial. The psychology underneath is well documented: the fundamental attribution error (we blame other people's character, not their situation), self-serving bias (our wins are skill, our losses are someone else's fault), and frustration-aggression (losing produces negative affect, and that affect needs a target). Online disinhibition then strips out the brakes that would normally stop you saying it to a person's face.

What's interesting is that studios have actually moved these numbers with structure, not policing. Riot found that making cross-team chat opt-in dropped abuse complaints even though ~79% of players turned it back on. Overwatch's endorsement system reportedly cut disruptive matches by ~40%. Deep Rock leans on pings instead of open chat and gives you a one-button ""Rock and Stone!"" cheer, so being nice is a reflex. The common thread is removing or redirecting the blame target, not adding more bans.

Curious where people land on this: is the blame target the right frame, or is it too reductive? And are there games that point blame at a human and still stay civil?

I wrote up the full version with all the studies and studio data here: https://www.devbro.fr/blog/toxicity-and-blame",design_theory,somewhat difficult
"The Open World portion of Mario Kart World gets dismissed as 'bad and empty' because people don't understand why it's really there

I only recently picked up a Switch 2 and have put a good 20+ hours into MKW. ~5 of it has been doing races with the other 15 hours spent driving around the open world having fun in the playground. Going into it, I was ready to be apprehensive about it just due to the sentiment online, but I was pleasantly surprised at how fun it was.

Ultimately, I think it's a weird game because it markets to both pros and casuals, but feels like it is meant for the people in-between those two extremes - The person who want's to get better at the game. In my opinion, the reason there isn't more 'directed content to do' is because all of the P Switches, Peach Medallions, ? Blocks, Nabbits, and Chargin Chucks are placed as fun ways to teach you how to be better at the game.

P Switches - guide you through a small section of a route to get you to learn a new technique/new area better to use it during a race

? Blocks - let you learn about a track in a slower more methodical pace without any pressure. In older games this was impossible because youd have to play VS/Time Trial and just 'lose the race' every time if you wanted to learn shortcuts. For people who hate the pressure that comes with that, this is the perfect solution

Peach Medallions - Give you opportunities to practice gliding/jumping/grinding in different scenarios which you can apply during races

Nabbits - teach you that every bit of speed matters. Getting 'drift practice' in with these guys lets new players learn how to drift, jump, and boost to use lots of little speed advantages to gain ground on a fast opponent

Chargin Chucks teach you how to aim and hit moving targets with green shells instead of relying on homing shells

All of the activities you can do in the world make you just a little bit better at the game by nature of beating each little challenge. Every single one teaches the player something about a route or let them practice a technique with 0 pressure which they can then take into a race and use that practiced technique under pressure to place higher than they ever did before...",design_theory,somewhat difficult
"Mina the Hollower had an 800+ Page Design Doc

Some colleagues and I were recently in a call with Alec Faulkner, a game designer at Yacht Club Games, playing through the opening of Mina the Hollower and talking about its design. When someone in the chat asked about what Mina's design documentation looked like, he showed us their 800+ page design document. Here's two screenshots:

Overview Page

Partial Buckler Driver

The other 2 devs and I were were genuinely surprised. I was sure he was about to say what I've heard a dozen times, ""We did some initial documentation for planning, and we wrote down the key summaries for new designers to read, but as this is a tightly focused action game eventually it becomes more efficient to just have a designer play the current build and talk about it than constantly updating and re-reading a massive written document"".

Nope, not the case. Alec made it clear that the paper and whiteboard design process IS the main design process for them, they wanted to get everything worked out and agreed upon at that stage first - and only implement things they were highly confident in. No ""throw in a bunch of ideas and see what happens, finding the fun through iteration"". Everything was exhaustively worked out from the start, and when things changed they updated the documentation.

Now I'm used to that kind of exhaustive pre-planning for system and feature design, I make 100+ slide presentations, or video walkthroughs, or miro boards, or focused design documents on individual features or interlocking systems all the time... But I'm so used to designers that focus on moment-to-moment gameplay, including in AAA, saying, ""After a while, the game becomes its own documentation. Just play it, it's faster to try it yourself and see how it feels rather than theorycrafting everything ahead of time.""

Of course, not every production practice a great game follows is good to replicate on other projects. Some only work on specific teams, some have huge tradeoffs with harder-to-see costs.

So I wanted to ask you all, what kind of games do you work on and how do you approach documenting their design? What have you seen work well, what hasn't?",dev_process,easy
"Does genre-merging increase marketability or hamper it?

TLDR: Does incorporating elements from a Steam-successful genre (roguelikes) into a pretty dead genre (2D platformers, atmospheric adventure) increase the marketability by adding it to a new pool of potential interest, or does it hamper it by not fully committing to either lane?

Context:
I have a side-scrolling twin-stick shooter that leans heavy into atmospheric art, HD2D-style. People respond well to the art, and in the small playtesting I've done people have found the controls juicy enough for a decent start. It's mechanically built to maybe 70% of completion not including sound, including physics and elemental interactions, etc. What's not built is the majority of actual levels. Lots of test sequences, but little in the way of actual end-to-end progression. I've got about 8 months of steady effort sunk into it, and this is my first sizable, non-game jam project. As such, I'm coming at this like an idiot and making all the mistakes people tend to make here.

In doing some market research, I realized just how poorly 2D platformers and twin-sticks do on Steam--I was aware not great, but didn't realize how badly. Though there are exceptions, it's a pretty flat market that doesn't really suit the Steam audience. Roguelikes perform better.

I've been prototyping a roguelike level progression system for the past few weeks to see if it could work, and it can, but given my own level of development experience there's no way (or desire, frankly) that I would ever make this a particularly crunchy roguelike. It would be roguelike elements (upgrades to movement and combat), but not full builds, etc. More Spelunky than Risk of Rain.

What I'm trying to figure out is whether this added development time would create a product more suited to the Steam marketplace, or if it's unlikely to really pay off and I should cut my losses, create the minimal complete version of the game, and move on. The non-rogue version of it would be more comparable to Neva. The rogue version of it would be somewhere between there and Spelunky, without the deep meta.",dev_process,somewhat difficult
"What design principles make class/job systems satisfying in MMORPGs and RPGs?

Hi everyone,


I’m trying to better understand class/job systems from a game design perspective.


I’m not looking for a simple ranking of “the best game” or a popularity contest. I’m more interested in why certain class systems feel satisfying, memorable, flexible, or deep from a mechanical and design standpoint.


More specifically, I’d like to discuss the rules and design choices behind class/job systems in RPGs and MMORPGs.


Questions:


What makes a class/job system satisfying from a design perspective?


2. How important is strong class identity compared to build freedom?


3. Is it better design to let one character learn multiple classes/jobs, or to force each character into a stronger specialization?


4. What are the benefits and drawbacks of multiclassing or hybrid builds?


5. How can a game create meaningful class progression without overwhelming the player?


6. What makes a class system feel deep without becoming too complex or unreadable?


7. What are good ways to make classes feel distinct mechanically, not just visually or thematically?


8. How should a game balance accessibility for new players with long-term mastery for experienced players?


9. What class/job systems do you think are well-designed, and what specific mechanics make them work?


10. On the opposite side, what are common design mistakes in class/job systems?

- too much homogenization?

- useless or dominant classes?

- false choices?

- overly rigid roles?

- too many passive bonuses?

- poor balance between freedom and identity?


11. Are there examples of games where the class system is ambitious but fails because of its rules, balance, progression, or player incentives?


12. In your opinion, what should be the core design goal of a great class/job system: player expression, tactical clarity, role identity, experimentation, balance, or long-term progression?


I’d really appreciate answers that explain the underlying mechanics and design reasoning, rather than just naming a favorite game.


Thanks in advance.",design_theory,somewhat difficult
"There's a problem with learning game design, getting into it. The tutorials, guides, they're not very practical

So most of the tutorials you see on Brackeys or Game Maker Toolkit, or even game design books, Designing Games- A Guide to Engineering Experiences by Tynan Sylvester, which i read, and basically says to do a lot of prototyping, what i got from it, these that are mostly recommended, yes, they show some principles, they show what works, what doesn't, so they're pretty good, but I wish there was something more practical, more to the point.

So I'm talking about something practical, like I wish there were some tutorials that show you how to come up with ideas, how to show the process of coming up with ideas. It doesn't have to be live, it could be scripted, since coming up with ideas may be hard, but they could discuss how they come up with this idea and why it works, what are the side effects and such.

Then, making a design document, it's not very much talked about, i think. How to work with the team, how to communicate.

Balancing, how to balance game mechanics, when you have a lot of numbers. In Sylvester's book, he says to push it to it's limit, until it doesn't work anymore, i think, if i remember, but not sure if it's really practical, if it's good advice, because i don't really understand what that really means. I'd probably need to test in a game these changes, but when you make a change, you have a feeling that the option before could have been useful, so you may not know which one would be the better option

So these are more theoretical, what could you use in your game, not really practical, like what a game designer really does. Wish there was some more practical tutorials, how to really get in game design. I feel like game design, is like a group that was made in the past, where aspiring/amateur game designers can't easily get in the group, that's how it feels to me. Like it feels like magic, what they do, and there's not really explanations how to do what they do.",dev_process,somewhat difficult
"Is there a way to make a customizable MC feel iconic without losing player projection?

I’ve been trying to understand a very specific feeling I have toward customizable protagonists in RPGs/media, and I’m wondering if there’s an actual design/art term for it.

Theres fully customizable, individual characters like Bg3’s Tav which makes people feel deeply attached to their own Tav, but fandom imagery becomes fragmented into everyone’s personal oc.
People post their Tavs but from an external point of view it's like viewing someone oc, so you don't feel attached or ""involved” to it:you’re witnessing someone else’s experience from the outside, there’s no “unity”.

Meanwhile, with characters like the Tarnished from Elden Ring, the visual design language tends to converge around the iconic Raging wolf set armour. That creates a strong common shared identity for fan arts and edits, but at least for me, it can also make the design feel more like ""the armor"" is the character itself.

Like instead of making me feel “that could be me/my character underneath” it often makes me feel like the armor itself IS the character, almost like the armor becomes the character’s face so it leaves nothing to project on, and I don't really fully understand why since the iconic armour set is purposely covering the whole body.

The armor set don’t feel like they’re concealing an identity but more like giving the character an identity of their own, even if the body underneath is hidden.
What I’m wondering it: does this feeling/concept have a name?

Is it actually possible for a customizable protagonist to feel BOTH deeply personal and have a projectable “placeholder” (especially for fandom stuff like edits/fanart) at the same time, (without giving the “tarnished” effect), or do those two things inherently cancel each other out?",player_experience,very difficult
"The Problem with Design “Philosophy”

Among the game devs that I mentor, it’s rarely the seniors that ask me the headache-causing questions. It’s usually the college students. Often they’re sending me some thought-provoking article or paper on the “nature of games as a medium”. These pieces get so far away from how I view design in general and art as a whole that it’s hard to know where to begin responding. 

This usually comes from the author approaching artistic mediums by looking at their formal properties. They note that paintings are static images, movies are time-based, etc. Then once they define those characteristics, they start asking questions like “Can games be art if they contain properties that paintings don’t? Paintings are static images, offering full artistic control over the experience. In a game, players might experience the events in different ways or different orders.”

I remember having a discussion with a designer about this. Afterward, I invited him to an art museum.

We walked around the rooms, exploring the spaces together, lingering on some paintings and barely glancing at others. Others in the museum hunted for specific famous paintings they wanted to see, following their printed quest logs.

Theory that ends at the edge of the painting misses the actual experience: exploring an art museum. Exploring an art museum involves non-linear experiences, shaped by the architecture (level design) but ultimately mirrors a sandbox walking simulator.

This approach to mix practical theory with ideology/philosophy infests many design discussions within our industry too, like asking if games that solely use their mechanics to deliver their narrative themes are “more true to the medium” or “purer” in some way. It’s all very philosophical, academic, and not at all how I think about art...",design_theory,somewhat difficulty
"How Insomniac's Spider-Man on PS4 proved scientifically that Fast-Travel should always be an option.

Fast travel is a shortcut for open-world designers who want to make an excessively open world without figuring out how a player would interact with it unless they're Marvel's Nightcrawler and could teleport to the important parts of the world and cut out the filler.

It's a convenience and ""Quality of Life"" feature for designers who don't understand how to make their worlds interesting to navigate.

I think the biggest win of ""respecting a player's time"" via Fast Travel versus player immersion and enjoyment of the game as presented is that Insomniac's Spider-Man on PS4 has fast-travel and has a specific trophy for using it 5 times. That number is important, because according to data tracked on psnprofiles.com, 66.43% of players got the trophy for PSNprofiles users, and 38% got it overall among Playstation players.

Like, how many times do you fast-travel in a typical open-world game with fast-travel? The answer is definitely a lot. I bet most players who played Skyrim probably fast-traveled more than five times before they finished the Bleak Falls Barrow quest for Whiterun.

So let's focus on that 66.43%/38% of the players who got that trophy, and compare it to other trophies that were nearly at or at a higher percentage of completion that players of the game received for completely optional content or end-game content.

66.41%/35.2% of players got the optional ""Backpacker"" Trophy for finding all of the hidden backpacks.

65.77%/35.8% of players got the optional ""Hero for Higher"" Trophy for getting to the very top of the Avengers tower and perching there for a second.

75.47%/47.8% of players got the optional ""Amazing Coverage"" Trophy for activating every single Surveillance Tower...",design_theory,somewhat difficult
